feature,importance_gini,importance_perm,importance_perm_std
usage_pct,0.18550441672631168,0.14876892697198263,0.04516309897296915
seasons_played,0.07834851811086288,0.10051168766414209,0.058927069930122054
efficiency,0.08964700230231004,0.0803282451349994,0.07725453956658322
mpg,0.009484806266890612,0.07849511238550824,0.02851972744216691
efg_pct,0.01031363079638688,0.06464061246896542,0.04052420603728987
ppg,0.0344610592212864,0.05580020292794563,0.05347117228406717
games,0.029520810663436987,0.04286581332365883,0.01429176258712738
bpg,0.11495432344698775,0.04030612795087611,0.053625902874620955
three_pt_pct,0.04106611297956874,0.032197797905452685,0.04473417392306869
ppg_trend,0.04513350634624945,0.017539028504636355,0.008802701600376583
ts_pct,0.008936028922906075,0.016022122531634864,0.01765904420097341
rpg,0.018940028776222265,0.01483200236254718,0.01667784143555012
spg,0.011554055885237662,0.014488893116658264,0.015118130804842604
apg,0.049826962221131955,0.014302795988554596,0.03387168544108288
ast_to_tov,0.029025839857210665,-0.005680276330991885,0.016095416697105493
pts_per_min,0.21070139927175965,-0.006874784189070504,0.1053355764808425
ft_pct,0.03258149820524024,-0.05492228824637846,0.025193858327554552
